collision,chunk_tokens,method,ttft_ms
First,512,Query only,205.78956604003906
First,512,No chunking,2816.959301630656
First,512,Chunked,2026.504119237264
First,1024,Query only,205.78956604003906
First,1024,No chunking,2816.959301630656
First,1024,Chunked,2096.8539714813232
First,2048,Query only,205.78956604003906
First,2048,No chunking,2816.959301630656
First,2048,Chunked,2183.083693186442
First,4096,Query only,205.78956604003906
First,4096,No chunking,2816.959301630656
First,4096,Chunked,2331.941525141398
Later,512,Query only,227.89104779561362
Later,512,No chunking,1908.368984858195
Later,512,Chunked,233.60633850097656
Later,1024,Query only,227.89104779561362
Later,1024,No chunking,1908.368984858195
Later,1024,Chunked,259.1259678204854
Later,2048,Query only,227.89104779561362
Later,2048,No chunking,1908.368984858195
Later,2048,Chunked,288.08016247219507
Later,4096,Query only,227.89104779561362
Later,4096,No chunking,1908.368984858195
Later,4096,Chunked,323.09043407440186
