model,workload,path,path_label,queries,path_queries,path_ratio
8B,LoCoMO,fallback,Fallback,1986,200,0.10070493454179255
8B,LoCoMO,partial_hit,Partial,1986,1499,0.7547834843907352
8B,LoCoMO,full_hit,Full,1986,287,0.1445115810674723
8B,EventQA,fallback,Fallback,1000,200,0.2
8B,EventQA,partial_hit,Partial,1000,469,0.469
8B,EventQA,full_hit,Full,1000,331,0.331
8B,PERMA,fallback,Fallback,1094,124,0.113345521023766
8B,PERMA,partial_hit,Partial,1094,595,0.5438756855575868
8B,PERMA,full_hit,Full,1094,375,0.34277879341864714
32B,LoCoMO,fallback,Fallback,999,176,0.17617617617617617
32B,LoCoMO,partial_hit,Partial,999,709,0.7097097097097097
32B,LoCoMO,full_hit,Full,999,114,0.11411411411411411
32B,EventQA,fallback,Fallback,500,254,0.508
32B,EventQA,partial_hit,Partial,500,229,0.458
32B,EventQA,full_hit,Full,500,17,0.034
32B,PERMA,fallback,Fallback,510,268,0.5254901960784314
32B,PERMA,partial_hit,Partial,510,194,0.3803921568627451
32B,PERMA,full_hit,Full,510,48,0.09411764705882353
