model,workload,session_id,queries,baseline_server_ttft_ms,vispage_server_ttft_ms,speedup,fallback_queries,partial_hit_queries,full_hit_queries,submitted_pages,used_pages,source_baseline,source_vispage
8B,LoCoMO,locomo-conv-26,199,2567.801035828327,1682.9592055411795,1.52576546559999,10,150,39,157,94,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-30,105,2445.2402341933475,1718.76498176938,1.4226728262034398,11,76,18,81,39,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-41,193,2614.283068810102,2054.9332823778063,1.2721985142919388,27,142,24,157,78,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-42,260,2419.1692443994375,1644.010224709144,1.4715049870370687,27,173,60,185,105,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-43,242,2475.149331999219,2079.0625781067147,1.1905121847045115,28,192,22,210,106,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-44,158,2355.676963359495,1880.02756426606,1.2530012900524268,15,127,16,136,70,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-47,190,2443.5103240766025,2034.9031084462215,1.2007993471209442,22,154,14,166,83,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-48,239,2222.217493975013,1962.3053403080257,1.132452451883043,32,181,26,201,114,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-49,196,2386.1385316264873,1698.2056425542248,1.4050939838107954,13,147,36,155,90,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,LoCoMO,locomo-conv-50,204,2692.482730921577,1858.5590872110106,1.4486936409226399,15,157,32,164,99,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_000_locomo_baseline_8000,paper_results/evaluation/exp1_8b_server_ttft_quick/locomo_8000/autoeval/20260611_085418/config_001_locomo_semantic_8000
8B,EventQA,eventqa-scenario-0001,100,3653.7851786613464,2404.2558002471924,1.5197156551668438,23,73,4,93,43,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0002,100,3688.3263874053955,2270.1349878311157,1.624716771106734,24,62,14,77,43,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0003,100,3632.361719608307,2551.626627445221,1.4235475051634636,28,60,12,83,38,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0004,100,3618.665940761566,2317.5451374053955,1.5614219901722555,25,65,10,78,40,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0005,100,3605.5338048934937,2314.513211250305,1.5577935729067522,25,63,12,81,42,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0006,100,3390.998601913452,1646.2761497497559,2.0597993856795562,26,29,45,32,17,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
8B,EventQA,eventqa-scenario-0007,100,3254.3523597717285,1157.9061603546143,2.8105493097774588,7,27,66,31,23,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_000_eventqa_baseline_8001,paper_results/evaluation/exp1_8b_server_ttft_quick/eventqa_8001/autoeval/20260611_092311/config_001_eventqa_semantic_8001
