label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0001,100,0.998851602982581,2158.949044412002,2161.43122558482,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0002,100,1.1656862360520766,2045.6620253715664,1754.8993563652039,46,54,1,45,83,36,7.07,2.0259999999999994,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0003,100,1.1428800801264116,2180.700719160959,1908.0748339928687,40,60,0,40,84,33,7.8,1.8939999999999992,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0004,100,1.1256545213008546,2166.586260367185,1924.7346493694931,35,65,0,35,79,32,8.05,1.7979999999999998,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0005,100,1.1181480106055235,2177.5044597685337,1947.4205911159515,37,63,0,37,79,27,7.88,1.8429999999999995,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0006,100,2.1284705050361814,1918.9852337632328,901.5794342570007,81,19,25,56,71,38,3.12,2.8489999999999998,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0007,100,2.6830690660242977,1920.1511645596474,715.6547659821808,86,14,38,48,61,42,2.27,2.9010000000000007,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0008,100,1.8616365996251838,2046.3136354181916,1099.2014423385262,74,26,11,63,83,44,3.98,2.642,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0009,100,2.5920545506860733,1761.1272109858692,679.4329272583127,87,13,39,48,58,37,2.16,2.8449999999999993,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,random,eventqa-scenario-0010,100,2.3569697026444434,2070.512595428154,878.463814407587,83,17,30,53,67,47,2.9,2.785000000000002,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_eventqa_scale1_random_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,semantic,eventqa-scenario-0001,100,1.238892730207739,2158.949044412002,1742.6440496183932,53,47,1,52,98,43,6.8,2.199,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_eventqa_scale1_semantic_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,semantic,eventqa-scenario-0002,100,1.4602839322609802,2045.6620253715664,1400.8659413270652,63,37,9,54,88,40,5.48,2.29,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_eventqa_scale1_semantic_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,semantic,eventqa-scenario-0003,100,1.3011209369130607,2180.700719160959,1676.0169307049364,54,46,2,52,97,46,6.68,2.1559999999999993,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_eventqa_scale1_semantic_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,semantic,eventqa-scenario-0004,100,1.253995635777222,2166.586260367185,1727.7462525013834,44,56,2,42,83,34,7.21,1.9239999999999995,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_eventqa_scale1_semantic_qwen3_embed_4b_8003
32b_eventqa,exp1_32b_eventqa_scale1_qwen3_embed_4b_8003,semantic,eventqa-scenario-0005,100,1.3586632452712275,2177.5044597685337,1602.6815087161958,54,46,6,48,89,37,6.46,2.1859999999999995,paper_results/evaluation/exp1_32b_eventqa_8003_vtok18k_cvtok12k/autoeval/20260609_115640,config_000_exp1_32b_eventqa_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_eventqa_scale1_semantic_qwen3_embed_4b_8003
