label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-26,199,1.512870186669078,383.53791965368254,253.51674124673383,188,11,17,171,182,106,3.628140703517588,7.42361809045226,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-30,105,1.5024610191553285,372.9153515416242,248.20301278183857,96,9,6,90,99,53,4.161904761904762,6.015238095238093,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-41,193,1.2944397068562727,389.24436703073394,300.7049034180728,164,29,8,156,185,101,4.94300518134715,7.733678756476684,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-42,260,1.1481266076339816,376.9799313758715,328.3435196687396,168,92,11,157,248,112,6.426923076923077,4.654615384615385,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-43,242,1.0703162567337294,391.70543050532007,365.97167242949536,142,100,2,140,240,97,7.119834710743802,5.052892561983473,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-44,158,1.174348617825382,385.5444596066505,328.3049460394379,96,62,4,92,154,68,6.658227848101266,4.627215189873419,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-47,190,1.1109603331704738,386.8157250757672,348.181400835318,113,77,2,111,188,76,7.131578947368421,4.42,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-48,239,1.3284951863861398,363.75750638310757,273.8116856656626,215,24,17,198,222,131,4.380753138075314,8.955648535564858,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-49,196,1.2833945889030678,374.7750311633762,292.0185532991071,163,33,5,158,191,103,5.158163265306122,6.314795918367347,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,random,locomo-conv-50,204,1.3271460974564633,392.44379286252547,295.7050422818272,181,23,11,170,193,112,4.681372549019608,8.010294117647064,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_001_exp1_32b_locomo_scale1_random_qwen3_embed_4b
32b_locomo_scale1,exp1_32b_locomo_scale1_qwen3_embed_4b,semantic,locomo-conv-26,199,1.7206622716681315,383.53791965368254,222.90133628713426,188,11,25,163,171,99,3.135678391959799,6.187939698492464,paper_results/evaluation/exp1_32b_locomo_scale1_8002_vtok18k_cvtok12k/autoeval/20260609_153529,config_000_exp1_32b_locomo_scale1_baseline_qwen3_embed_4b,config_002_exp1_32b_locomo_scale1_semantic_qwen3_embed_4b
