label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,random,perma-user108,114,1.0971590446002666,2062.19756764997,1879.579426336772,34,80,1,33,71,29,8.228070175438596,1.524561403508772,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_perma_scale1_random_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,random,perma-user109,87,1.4492880199145193,1847.253852705846,1274.5940263929037,56,31,12,44,63,29,5.35632183908046,2.037931034482758,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_perma_scale1_random_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,random,perma-user112,90,1.2464119470416766,2009.2804682234096,1612.0516760067808,43,47,4,39,63,29,6.966666666666667,1.8311111111111111,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_perma_scale1_random_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,random,perma-user123,116,1.4227546112173926,1824.506418362003,1282.376035879334,70,46,13,57,85,42,5.663793103448276,2.1577586206896546,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_perma_scale1_random_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,random,perma-user1377,103,1.2947270588950106,1954.919273097032,1509.9084086227908,52,51,6,46,77,34,6.524271844660194,1.833980582524272,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_001_exp1_32b_perma_scale1_random_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,semantic,perma-user108,114,1.1957023535357358,2062.19756764997,1724.6746747231666,36,78,8,28,48,26,7.807017543859649,1.5087719298245612,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_perma_scale1_semantic_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,semantic,perma-user109,87,1.7139806745686466,1847.253852705846,1077.75652322961,69,18,13,56,65,37,4.287356321839081,2.4551724137931026,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_perma_scale1_semantic_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,semantic,perma-user112,90,1.231441316431153,2009.2804682234096,1631.6493863032924,41,49,7,34,56,29,6.844444444444444,1.7422222222222223,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_perma_scale1_semantic_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,semantic,perma-user123,116,1.4701308922063745,1824.506418362003,1241.0503228211069,68,48,13,55,71,34,5.663793103448276,2.1086206896551722,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_perma_scale1_semantic_qwen3_embed_4b_8003
32b_perma,exp1_32b_perma_scale1_qwen3_embed_4b_8003,semantic,perma-user1377,103,1.2674807527256697,1954.919273097032,1542.3660429501997,45,58,7,38,53,31,6.883495145631068,1.6592233009708743,paper_results/evaluation/exp1_32b_perma_8003_vtok18k_cvtok12k/autoeval/20260609_181958,config_000_exp1_32b_perma_scale1_baseline_qwen3_embed_4b_8003,config_002_exp1_32b_perma_scale1_semantic_qwen3_embed_4b_8003
