label,group,method,session_id,queries,speedup,baseline_ttft_ms,method_ttft_ms,warm_page_queries,fallback_queries,full_hit_queries,partial_hit_queries,registered_pages,used_pages,residual_count_mean,read_amplification_mean,batch_dir,baseline_config,method_config
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0001,100,0.9950037793126199,2529.328780840151,2542.029320318252,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0002,100,0.9994496700918869,2531.284168707207,2532.6779771456495,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0003,100,0.9999189945250955,2538.566754492931,2538.772408957593,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0004,100,1.0000755815464937,2531.2971383612603,2531.1058334680274,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0005,100,0.9985631193560374,2533.318841638975,2536.964156329632,0,100,0,0,0,0,10.0,1.0,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0006,100,1.7343312555913089,2302.7780470903963,1327.761371806264,54,46,26,28,35,21,5.26,3.6280000000000006,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0007,100,2.0500421522335306,2244.9955009808764,1095.0972391152754,59,41,28,31,34,22,4.57,3.7969999999999997,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0008,100,1.3701055764047185,2389.1580706229433,1743.7766196765006,35,65,4,31,37,20,7.21,2.7130000000000005,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0009,100,2.388534278676324,2078.839947148226,870.3412656486034,67,33,41,26,31,22,3.88,4.231000000000003,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
exp1_eventqa_scale1_qwen3_embed_4b,exp1_eventqa_scale1_qwen3_embed_4b,random,eventqa-scenario-0010,100,2.150315545421466,2457.586896251887,1142.8959351964295,63,37,25,38,41,29,4.43,4.048999999999998,paper_results/evaluation/exp1/autoeval/20260607_235821,config_008_exp1_eventqa_scale1_baseline_qwen3_embed_4b,config_009_exp1_eventqa_scale1_random_qwen3_embed_4b
